# x, f(x), root1, root2
4.984962406015036152e+00,1.596992481203007230e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.070175438596489670e+00,1.614035087719297934e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.155388471177943188e+00,1.631077694235588638e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.240601503759396707e+00,1.648120300751879341e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.325814536340850225e+00,1.665162907268170045e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.411027568922303743e+00,1.682205513784460749e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.496240601503757262e+00,1.699248120300751452e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.581453634085210780e+00,1.716290726817042156e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.666666666666664298e+00,1.733333333333332860e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.751879699248117817e+00,1.750375939849623563e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.837092731829571335e+00,1.767418546365914267e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.922305764411024853e+00,1.784461152882204971e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
